CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,127,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test49
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator,parse,148,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test48
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,parse,142,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,parse,136,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test18
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,parse,140,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,parse,140,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,parse,142,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,parse,142,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,parse,142,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,parse,147,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test15
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,parse,149,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,parse,149,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test48
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,parse,151,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,parse,151,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,parse,137,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test18
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,parse,140,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,parse,142,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,parse,149,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test48
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,parse,151,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,parse,137,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test18
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,parse,138,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test48
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,parse,139,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test48
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,parse,139,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test48
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,parse,140,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,parse,142,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,parse,147,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,parse,148,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,parse,151,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,parse,151,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator,parse,156,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test18
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,parse,137,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test48
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,parse,140,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,parse,149,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,parse,151,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,parse,137,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test18
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,parse,140,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,parse,149,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test48
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,parse,151,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,parse,142,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,parse,142,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,parse,156,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test18
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,parse,140,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,parse,141,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,parse,149,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test48
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,parse,152,NO_COVERAGE,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,toCacheBuilder,186,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test45
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,toCacheBuilder,198,NO_COVERAGE,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,toCacheBuilder,168,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test44
